Website,Name,DR,Ahrefs Traffic,Type,Category,Niche/Industry,Local/Global,Link Type,Paid/Free,Instructions,Instant/Requires Confirmation,Owner,Status,Email,Password
https://f6s.com,F6S,83,141901,Profile Link,Niche Directory,Startups,Global,Nofollow,Free,Create a profile. Submit your startup/company. List products/services. Add your social links and website link.,Instant,,Not Started,,
https://alternativeto.net,Alternative To,80,344477,Profile Link,Niche Directory,"SaaS, Software, Technology",Global,Nofollow,Free,Create a profile. Add a link to your website. You can also list apps/tools.,,,Not Started,,
https://crozdesk.com,Croz Desk,75,13433,Profile Link,Software Directory,"SaaS, Software, Technology",Global,Nofollow,Free,Sign up with Linkedin.,,,Not Started,,
https://business.trustpilot.com/,Trustpilot,94,13715,Listing,Review Platform,Review Platform,Global,Nofollow,Free,Verify domain ownership,,,Not Started,,
https://yelp.com,Yelp,95,103000000,Listing,Business Directory,General,Local,Dofollow,Free,Go to Yelp for Business and click on Claim your Business. Then add business details and website link.,,,Not Started,,
https://designrush.com,DesignRush,90,754332,Listing,Agency Directory,"Marketing, Design, Tech",Global,Dofollow,Free,Click List Your Agency. Fill out the business info. Add website link and social media links. Wait for review.,,,Not Started,,
https://clutch.co,Clutch,90,856360,"Listing, Profile Link",Agency Directory,"IT, Marketing, Business Services",Global,Nofollow,"Free, Paid",Click Get Listed and create a profile. Add website link and social media links. Wait for review.,Requires Review,,Not Started,,
https://scoop.it,Scoop.it,86,226470,Profile Link,Content/Blogging Platform,General,Global,,Paid,Create a profile.You need the PRO to add a link to your bio and your social media links.,,,Not Started,,
https://www.behance.net/,Behance,94,5332262,Profile Link,Content/Blogging Platform,Creative Portfolio,Global,"Dofollow, UGC",Free,Create a profile. Add a link to your website and connect your social media channels.,,,Not Started,,
https://dribbble.com/,Dribbble,93,2218502,Profile Link,Content/Blogging Platform,Creative Portfolio,Global,Dofollow,Free,Create a profile. Add website link and social media links in the About section.,,,Not Started,,
https://www.capterra.com/,Capterra,90,601331,Listing,Software Directory,"SaaS, Software, Technology",Global,,Free,"Click ""For Vendors"" and claim your profile.",,,Not Started,,
https://bitly.com,Bitly,91,1889635,Listing,Link in Bio,General,Global,,Free,Create a profile. Add your social links and a link to your website.,,,Not Started,,
https://cutt.ly,Cuttly,92,190664,Listing,Link Shortener,General,Global,,,,,,Not Started,,
https://g2.com,G2,91,859644,Listing,Software Directory,"SaaS, Software, Technology",Global,Nofollow,Free,Requires a business email. Go to G2 for Business and Claim your profile.,,,Not Started,,
https://www.google.com/intl/en_us/business/,Google Business Profile,98,41558,Listing,Business Directory,General,Local,Dofollow,Free,Sign in with your Google account. Fill out your business information. Verification requires a physical address.,,,Not Started,,
https://foursquare.com/,Foursquare,91,3887254,Profile Link,Business Directory,General,Local,Nofollow,Free,"Go to List my business. If already there, claim it. If not click create a listing. Sign up and add a link to your website and social media.",,,Not Started,,
https://beacons.ai/,Beacons,90,491530,Profile Link,Link in Bio,General,Global,Dofollow,Free,Create a profile. Add your social links and a link to your website.,,,Not Started,,
https://linkinprofile.com/,Link in Profile,63,889,Profile Link,Link in Bio,General,Global,,,,,,Not Started,,
https://taplink.at/,Taplink,76,84541,Profile Link,Link in Bio,General,Global,Dofollow,Free,Create a profile. Add your social links and a link to your website.,,,Not Started,,
https://milkshake.app/,Milkshake App,73,20530,Profile Link,Link in Bio,General,Global,Dofollow,Free,Create a profile. Add your social links and a link to your website.,,,Not Started,,
https://campsite.bio/,Campsite,78,62322,Profile Link,Link in Bio,General,Global,Dofollow,Free,Create a profile. Add your social links and a link to your website.,,,Not Started,,
https://solo.to/,Solo.to,83,4373242,Profile Link,Link in Bio,General,Global,Dofollow,Free,Create a profile. Add your social links and a link to your website.,,,Not Started,,
https://linkpop.com/,Linkpop,78,12361,Profile Link,Link in Bio,General,Global,Dofollow,Free,Create a profile. Add your social links and a link to your website.,,,Not Started,,
https://lnk.bio/,Lnk.Bio,81,141510,Profile Link,Link in Bio,General,Global,Dofollow,Free,Create a profile. Add your social links and a link to your website.,,,Not Started,,
https://www.provenexpert.com/,Proven Expert,91,65318,Profile Link,Review Platform,"SaaS, Software, Technology",Global,Dofollow,Free,Sign up and fill out contact and business info. Add website link and social media links. Publish your profile.,,,Not Started,,
saashub.com,SaaSHub,73,10532,Profile Link,Review Platform,"SaaS, Software, Technology",Global,Dofollow,Free,"Go to ""Submit a product"" and fill out the info. It can take up to 21 days to review.",,,Not Started,,
https://www.saasworthy.com/,SaaSworthy,74,27566,Profile Link,Review Platform,"SaaS, Software, Technology",Global,Dofollow,Free,"Go to ""List Your Product,"" then select ""Get Free Listing"" and fill out the required info. Submit the form, check your email and confirm your submission. Then wait to hear back.",Requires Review,,Not Started,,
https://www.getapp.com/,GetApp,85,416016,Profile Link,Review Platform,"SaaS, Software, Technology",Global,,Free,"Go to ""Get Listed"" and fill out the form.",,,Not Started,,
https://www.softwareadvice.com/,Software Advice,86,216453,Profile Link,Review Platform,"SaaS, Software, Technology",Global,Dofollow,Free,"Go to ""For Vendors"" and fill out the form. Wait to hear back.",Requires Review,,Not Started,,
https://www.futurepedia.io/,Futurepedia,71,112017,"Profile Link, Listing",Niche Directory,"AI Tools, SaaS, Technology",Global,Nofollow,Paid,Go to Advertise and Submit a Tool. Paid only. A one time fee of $247.,,,Not Started,,
https://aitoolsdirectory.com/,AI Tools Directory,40,18564,Listing,Niche Directory,AI Tools,Global,Dofollow,Free,"Go to ""Submit a Tool"" and fill out the form.",,,Not Started,,
https://theresanaiforthat.com/,There's An AI For That,75,680820,Listing,Niche Directory,AI Tools,Global,Dofollow,Paid,Go to Submit/Advertise in the left column and Submit your tool. A one-time fee of $99.,,,Not Started,,
https://aivalley.ai/,AI Valley,30,32234,Listing,Niche Directory,AI Tools,Global,Dofollow,Free,Go to Submit and Submit Tool. Fill out the form.,,,Not Started,,
https://webcatalog.io/,WebCatalog,55,221826,Listing,Software Directory,"SaaS, Software (Apps), Technology",Global,Nofollow,Free,"Go to Submit New App, sign up, and enter the app name and URL. Wait for the review process which takes about 1 day.",,,Not Started,,
https://www.softwareworld.co/,SoftwareWorld,74,23044,Listing,Software Directory,"SaaS, Software, Technology",Global,Nofollow,Free,Go to Get Listed and sign up. It requires a business email address to sign up.,,,Not Started,,
https://www.geekwire.com/startup-list/,GeekWire,86,277473,Listing,Niche Directory,"SaaS, Software, Technology",Local,"Nofollow, UGC",Free,"Go to ""Submit your Startup"" and fill out the form.",,,Not Started,,
https://local.yahoo.com/,Yahoo Local,86,296597,Listing,Business Directory,General,Local,,,"To list your business on Yahoo Local, you need to create and verify a business profile on YellowPages.com",,,Not Started,,
https://thehiveindex.com/,The Hive Index,46,4439,Listing,Community Platform,General,Global,Nofollow,Free,"Click on ""Add Community"" and submit your community details through the Google Form. Then, wait for the review process.",,,Not Started,,
https://www.softwaresuggest.com/,SoftwareSuggest,77,69472,Listing,Software Directory,"SaaS, Software, Technology",Global,Nofollow,Paid,"Go to ""Add a Product,"" sign up, and submit your product details. A business email is required for registration.",,,Not Started,,
https://www.howtobuysaas.com/,How to Buy SaaS,28,679,Listing,Niche Directory,"SaaS, Software, Technology",Global,Nofollow,Free,"Go to List Your SaaS, click Submit Your SaaS, fill out the form with your SaaS details, and submit. Wait to hear back",Requires Review,,Not Started,,
https://www.featuredcustomers.com/,Featured Customers,72,6334,Listing,Software Directory,"SaaS, Software, Technology",Global,Dofollow,Paid,"Go to ""Get Listed on Our Site"", fill out the required information, and submit to add your company. Only a paid plan allows you to place a link to your site and social media. You need to contact them to get listed.",,,Not Started,,
https://startupcollections.com/,Startup Collections,23,301,Listing,Niche Directory,Tech & Startups,Global,Nofollow,Free,"Go to Submit, fill out the Google Form with your product/service info, and add the link to your website.",,,Not Started,,
https://dev.to/,DEV Community,90,734951,"Profile Link, Content",Community Platform,"Developers, Tech, Software",Global,"Dofollow, UGC",Free,"Create an account, add a link to your website in your profile, and link your Facebook and Twitter.",Instant,,Not Started,,
https://www.yellowpages.com/,The Real Yellow Pages,90,1360723,Listing,Business Directory,General,Local,Nofollow,Free,Sign up and claim your listing. Fill out your business details and wait to hear back.,,,Not Started,,
https://botw.org/,BOTW (Best of the Web),75,3784,Listing,Business Directory,General,Local,Dofollow,Paid,"Go to Get Listed Today, create an account, and submit your business. A yearly subscription of $300 is required.",,,Not Started,,
https://www.hotfrog.com/,Hotfrog,81,37403,Listing,Business Directory,General,Local,Dofollow,Free,"Sign up and go to ""Add Business."" Fill out your business info and enter your website URL. Your business profile is live instantly.",Instant,,Not Started,,
https://www.manta.com/,Manta,87,93688,Listing,Business Directory,General,Local,Nofollow,Free,"Sign up and click ""Add a Business"" to fill out your business info and add a website link. The listing is live instantly after submission.",Instant,,Not Started,,
https://www.superpages.com/,Superpages,85,34593,Listing,Business Directory,General,Local,,,,,,Not Started,,
https://www.citysearch.com/,CitySearch,83,2928,Listing,Business Directory,General,Local,,,"Does not allow direct submissions. It pulls business data from aggregators (Data Axle, Foursquare , Yelp)",,,Not Started,,
https://www.merchantcircle.com/,MerchantCircle,85,11888,Listing,Business Directory,General,Local,Nofollow,Free,"Sign up, fill in the required details, and add your website link. The listing will be live instantly.",,,Not Started,,
https://www.bbb.org/,BBB (Better Business Bureau),93,6282504,Listing,Business Directory,General,Local,Nofollow,Free,"Go to 'List Your Business for Free,' click 'Add it Now,' fill out the required info, and include a link to your website. Then, wait for them to review",,,Not Started,,
https://kompass.com/,Kompass,77,532924,Listing,Business Directory,General,Global,Dofollow,Paid,,,,Not Started,,
https://ezlocal.com/,EZLocal,80,10727,Listing,Business Directory,General,Local,Nofollow,Free,"Go to ""Free business listing"", and enter your business details along with a link to your website. After registration, check your email for login credentials. Log in to your account, change your password, and activate your listing from the dashboard. Once activated, your profile will be live instantly.",,,Not Started,,
https://www.showmelocal.com/,ShowMeLocal,79,22159,Listing,Business Directory,General,Local,Nofollow,Free,"Go to ""Add a Business"" and create an account. Register your business and include a link to your website. Make sure your business email is different from your account email. Activate your account using the link sent to your email, and your listing will be live instantly.",,,Not Started,,
https://www.angi.com/,Angie,91,3509616,Profile Link,Niche Directory,Home Services,Local,Nofollow,Free,,,,Not Started,,
https://www.thumbtack.com/,Thumbtack,90,1089823,Profile Link,Business Directory,Home Services,Local,,,,,,Not Started,,
https://www.judysbook.com/,Judy’s Book,73,1703,Profile Link,Business Directory,General,Local,,,,,,Not Started,,
https://www.goodfirms.co/,GoodFirms,86,174632,Profile Link,Software Directory,"SaaS, Software, Technology",Global,,,,Requires Review,,Not Started,,
https://upcity.com/,UpCity,84,47814,Profile Link,Agency Directory,"IT, Marketing, Business Services",Global,,,,,,Not Started,,
https://www.expertise.com/,Expertise,90,21390,Profile Link,Business Directory,General,Local,,,,,,Not Started,,
https://www.zocdoc.com/,ZocDoc,88,756296,Profile Link,Niche Directory,Healthcare,Local,,,,,,Not Started,,
https://www.healthgrades.com/,Healthgrades,87,3658377,Profile Link,Niche Directory,Healthcare,Local,,,,,,Not Started,,
https://www.avvo.com/,Avvo,90,725387,Profile Link,Niche Directory,Legal Services,Local,,,,,,Not Started,,
https://www.findlaw.com/,FindLaw,90,857323,Profile Link,Niche Directory,Legal Services,Local,,,,,,Not Started,,
https://www.homeadvisor.com/,HomeAdvisor,91,263971,Profile Link,Niche Directory,Home Services,Local,,,,,,Not Started,,
https://www.houzz.com/,Houzz,92,3338032,Profile Link,Niche Directory,Interior Design,Global,,,,,,Not Started,,
https://www.buildzoom.com/,BuildZoom,81,35157,Profile Link,Niche Directory,Interior Design,Local,,,,,,Not Started,,
https://www.thebluebook.com/,The Blue Book Building and Construction Network,79,108293,Profile Link,Niche Directory,Interior Design,Local,,,,,,Not Started,,
https://homeguide.com/,HomeGuide,80,456825,Profile Link,Niche Directory,Interior Design,Local,,,,,,Not Started,,
https://www.architecturaldigest.com/,Architectural Digest,89,1428133,Profile Link,Niche Directory,Interior Design,Global,,Paid,,,,Not Started,,
https://luxesource.com/,Luxe Interiors + Design,77,10871,Profile Link,Niche Directory,Interior Design,Local,,,,,,Not Started,,
https://www.cylex.us.com/,Cylex,75,25190,Profile Link,Business Directory,General,Local,,,,,,Not Started,,
https://www.trustradius.com/,TrustRadius,84,237340,Profile Link,Software Directory,"SaaS, Software, Technology",Global,,,Your company must have a LinkedIn company page and have at least 10 employees on LinkedIn,,,Not Started,,
https://www.saasgenius.com/,SaaS Genius,60,7953,Profile Link,Software Directory,"SaaS, Software, Technology",Global,,,,,,Not Started,,
https://www.serchen.com/,Serchen,71,3234,Profile Link,Software Directory,"SaaS, Software, Technology",Global,,,,,,Not Started,,
https://www.saashub.com/,SaaSHub,73,10532,Profile Link,Software Directory,"SaaS, Software, Technology",Global,,,,,,Not Started,,
https://softwarefinder.com/,SoftwareFinder,72,22381,Profile Link,Software Directory,"SaaS, Software, Technology",Global,,,,,,Not Started,,
https://technologyadvice.com/,TechnologyAdvice,79,94502,Profile Link,Software Directory,"SaaS, Software, Technology",Global,,,,,,Not Started,,
https://sourceforge.net/,SourceForge,92,1584064,Listing,Software Directory,"SaaS, Software, Technology",Global,,,,,,Not Started,,
https://www.toolify.ai/,Toolify AI,70,288057,Listing,Niche Directory,AI Tools,Global,Dofollow,Paid,"Go to ""Submit and Advertise,"" click on ""Submit,"" complete the form, and pay a one-time fee of $99 to list your tool.",,,Not Started,,
https://startupsavant.com/,Startup Savant,67,21729,Listing,Niche Directory,Startups,Local,,,,,,Not Started,,
https://elocal.com/,eLocal,77,16830,Listing,Business Directory,General,Local,Nofollow,Free,"Sign up and go to ""Add a Business"" to fill out your business info, including keywords, website, and social media links. After submission, wait for them to review your listing.",,,Not Started,,
https://citysquares.com/,CitySquares,75,24818,Listing,Business Directory,General,Local,,Free,,,,Not Started,,
https://www.mylocalservices.com/,My Local Services,69,10977,Listing,Business Directory,General,Local,,,,,,Not Started,,
https://www.n49.com/,n49°,75,15508,Listing,Business Directory,General,Local,,,,,,Not Started,,
https://www.iglobal.co/,iGlobal,74,1984,Listing,Business Directory,General,Global,,Paid,,,,Not Started,,
https://www.chairish.com/,Chairish,79,212704,Listing,Niche Directory,Interior Design,Local,,,,,,Not Started,,
https://www.sbid.org/designer-directory/,SBID Designer Directory,69,5,Listing,Niche Directory,Interior Design,Global,,,,,,Not Started,,
https://www.industville.co.uk/blogs/interior-designer-directory,Industville,54,50,Listing,Niche Directory,Interior Design,Local,,,,,,Not Started,,
https://betalist.com/,BetaList,73,15408,Listing,Niche Directory,Tech & Startups,Global,,,,,,Not Started,,
https://financesonline.com/,FinancesOnline,87,34236,Listing,Software Directory,"SaaS, Software, Technology",Global,,,,,,Not Started,,
https://www.uneed.best/,Uneed.best,63,4400,Listing,Niche Directory,"SaaS, Software, Technology",Global,,,,,,Not Started,,
https://startupstash.com/,Startup Stash,68,3782,Listing,Niche Directory,"Technology, Startups",Global,,,,,,Not Started,,
https://www.f6s.com/,F6S,83,141849,Profile Link,Business Directory,"Technology, Startups",Global,,,,,,Not Started,,
https://aitools.neilpatel.com/,AI Tools by Neil Patel,91,2337,Listing,Niche Directory,AI Tools,Global,,,,,,Not Started,,
https://clutch.co/,Clutch,90,856360,"Profile Link, Listing",Business Directory,"IT, Marketing, Business Services",Global,,,,Requires Review,,Not Started,,
https://stackshare.io/,StackShare,80,15347,Profile Link,Software Directory,"SaaS, Software, Technology",Global,Dofollow,Free,,Instant,,Not Started,,
https://www.discovercloud.com/,DiscoverCloud,39,7344,"Profile Link, Listing",Niche Directory,"SaaS, Software, Technology",Global,,,,,,Not Started,,
https://softwareoasis.com/software-directory/,Software Oasis,36,5700,Listing,Niche Directory,"SaaS, Software, Technology",Global,,,,,,Not Started,,
https://www.killerstartups.com/,KillerStartups,74,2554,"Profile Link, Listing, Content",Niche Directory,"Technology, Startups",Global,,,,,,Not Started,,
https://sprout24.com/,Sprout24,65,4556,Listing,Niche Directory,"SaaS, Software, Technology",Global,,,,,,Not Started,,
https://www.peerspot.com/,PeerSpot,68,11554,Content,Review Platform,"Enterprise Technology, Business",Global,,,,,,Not Started,,
https://www.cabinetm.com/register/account?tab=marTech#,CabinetM,45,4500,Listing,Niche Directory,"Marketing, SaaS, Technology, Software",Global,,,,,,Not Started,,
https://www.cuspera.com/,Cuspera,47,1851,Listing,"Software Directory, Review Platform","SaaS, Software, Technology",Global,,,,,,Not Started,,
https://www.crowdreviews.com/,CrowdReviews,71,2389,Listing,"Review Platform, Software Directory","IT, Marketing, Business Services	",Global,,,,,,Not Started,,
https://alternative.me/,Alternative.me,73,155704,Listing,Niche Directory,Tech & Startups	,Global,,,,,,Not Started,,
https://www.sitejabber.com/,Sitejabber,85,1111577,Listing,Review Platform,General,Global,,,,,,Not Started,,
https://www.bingplaces.com/,Bing Places,82,83097,Listing,Business Directory,General,Local,,,,,,Not Started,,
https://alternatives.co/,Alternatives.co,56,1242,Listing,Software Directory,"SaaS, Software, Technology",Global,,,,,,Not Started,,
https://www.betterbuys.com/,BetterBuys,72,779,Listing,Review Platform,"SaaS, Software, Technology",Global,,,,,,Not Started,,
https://findstack.com/,FindStack,78,1141,Listing,Software Directory,"SaaS, Software, Technology",Global,,,,,,Not Started,,
https://microlaunch.net/,MicroLaunch,55,661,Listing,Niche Directory,Startups,Global,,,,,,Not Started,,
https://mrfreetools.com/,Mr. Free Tools,25,13609,Listing,Niche Directory,"AI Tools, SaaS, Technology",Global,,,,,,Not Started,,
https://www.nocode.tech/,NoCode.Tech,61,11600,Listing,Niche Directory,"SaaS, Software, Technology",Global,,,,,,Not Started,,
https://pitchwall.co/,PitchWall,67,2425,Listing,"Niche Directory, Creative Portfolio",Startups,Global,,,,,,Not Started,,
https://postmake.io/,Postmake,32,576,Listing,Niche Directory,"SaaS, Software, Technology",Global,,,,,,Not Started,,
https://productivity.directory/,Productivity Directory,28,459,Listing,Niche Directory,"SaaS, Software, Technology",Global,,,,,,Not Started,,
https://www.selecthub.com/,SelectHub,73,27553,Listing,"Review Platform, Software Directory","SaaS, Software, Technology",Global,,,,,,Not Started,,
https://www.quora.com/,Quora,92,154000000,"Profile Link, Content",Community Platform,General,Global,,,,,,Not Started,,
https://wellfound.com/,Wellfound (formerly AngelList),85,455048,Listing,Business Directory,Tech & Startups,Global,,,,,,Not Started,,
https://en.softonic.com/,Softonic,87,21194692,Listing,,"SaaS, Software (Apps), Technology",Global,,,,,,Not Started,,
https://e27.co/startups/,E27 Startups,79,7500,Listing,Niche Directory,Tech & Startups,Global,,,,,,Not Started,,
https://inc42.com/startup-submission/,Inc42,81,261675,Listing,Niche Directory,Tech & Startups,Global,,,,,,Not Started,,
https://webrazzi.com/en/startup-form,Webrazzi,76,118651,Content,Niche Directory,Tech & Startups,Global,,,,,,Not Started,,
https://list.ly/,Listly,78,6828,"Profile Link, Content",Community Platform,General,Global,Nofollow,,,,,Not Started,,
https://www.wesuggestsoftware.com/,WeSuggestSoftware,30,474,Listing,Software Directory,"SaaS, Software, Technology",Global,,,,Requires Review,,Not Started,,
https://www.onrec.com/,OnRec,72,3168,Listing,Business Directory,Recruitment and HR,Local,,,,,,Not Started,,
https://www.glassdoor.com/,Glassdoor,91,5031036,Listing,Review Platform,General,Global,,,,,,Not Started,,
https://feedingtrends.com/,Feeding Trends,49,2146,Content,Content/Blogging Platform,General,Global,,,,,,Not Started,,
https://dexknows.com/,DexKnows,79,6913,Listing,General Directory,General,Local,,,,,,Not Started,,
https://www.brownbook.net/,BrownBook,79,1729,Listing,General Directory,General,Global,,,,,,Not Started,,
https://www.chamberofcommerce.com/,Chamber of Commerce,83,6398,Listing,Business Directory,General,Local,,,,,,Not Started,,
https://www.ibegin.com/,iBegin,75,3428,Listing,General Directory,General,Global,,,,,,Not Started,,
https://www.storeboard.com/,Storeboard,78,17573,Listing,"Business Directory, Community Platform",General,Global,,,,,,Not Started,,
https://www.locanto.com/,Locanto,72,385916,Listing,General Directory,General,Global,,,,,,Not Started,,
https://www.webwiki.com/,Webwiki,78,2442,Listing,Review Platform,General,Global,,,,,,Not Started,,
https://spiceworks.com,Spiceworks,87,1791777,,Community Platform,"IT, Technology",Global,,,,,,Not Started,,
https://www.eu-startups.com/directory/,EU-Startups Directory,77,42728,Listing,Niche Directory,Startups,Local,,,,,,Not Started,,
https://land-book.com/,Land-Book,72,8879,Content,Creative Portfolio,"Design, Creative",Global,,,,,,Not Started,,
https://nextdoor.com/,Nextdoor,90,2779647,Content,Community Platform,General,Global,,,,,,Not Started,,
https://www.cityfos.com/,Cityfos,69,1329,Listing,General Directory,General,Local,,,,,,Not Started,,
https://ebusinesspages.com/,eBusinessPages,77,952,Listing,Business Directory,General,Global,,,,,,Not Started,,
https://dentons.net/,Dentons,60,4609,,,,UK,,,,,,Not Started,,
https://tracxn.com/listyourstartup,Tracxn,74,888947,Listing,Niche Directory,Startups,Global,,,,,,Not Started,,
https://bestcompany.com/,BestCompany,72,28202,,,,,,,,,,Not Started,,
https://www.startus.cc/,StartUs,72,3942,Listing,Niche Directory,Startups,EU,,,,,,Not Started,,
https://www.toolpilot.ai/,ToolPilot,70,5521,Listing,Niche Directory,AI Tools,Global,,"Free, Paid",A link back to their site is now mandatory for all free listings.,,,Not Started,,
https://www.startupranking.com/,Startup Ranking,68,9021,Listing,General Directory,Startups,Global,,,,,,Not Started,,
https://builtin.com/,BuiltIn,85,1926922,Profile Link,Job Posting Directory,Technology and Startups​,Local,Nofollow,,,,,Not Started,,
https://growjo.com/,Growjo,63,49914,Listing,Business Directory,"SaaS, Software, Tech, Startups",Global,,,,,,Not Started,,
https://www.levels.fyi/,Levels.fyi,73,363410,,,,,,,,,,Not Started,,
https://reviews.birdeye.com/,Birdeye Reviews,,,Listing,Review Platform,General,Global,,,,,,Not Started,,
https://www.smartmoneymatch.com/,SmartMoneyMatch,,,Listing,Niche Directory,Investment and Finance Networking,Global,,,,,,Not Started,,
https://www.hostingseekers.com/,HostingSeekers,,,Listing,Niche Directory,Web Hosting Services,Global,,,,,,Not Started,,
https://www.qdexx.com/,Qdexx,,,Listing,Business Directory,Professional Services,Global,,,,,,Not Started,,
https://livepositively.com/,LivePositively,,,"Profile Link, Content",Content/Blogging Platform,General,Global,,,,,,Not Started,,
https://www.softpedia.com/,Softpedia,,,,,,,,,,,,Not Started,,
https://www.awwwards.com/,Awwwards,,,,,,,,,,,,Not Started,,
https://www.tenereteam.com/,TenereTeam,,,,,,,,,,,,Not Started,,
https://www.siteinspire.com/,SiteInspire,,,,,,,,,,,,Not Started,,
https://startupxplore.com/,StartupXplore,,,,,,,,,,,,Not Started,,
https://www.startupranking.com/,StartupRanking,,,,,,,,,,,,Not Started,,
https://www.alignable.com/,Alignable,,,,,,,,,,,,Not Started,,
https://www.webdesign-inspiration.com/,WebDesign-Inspiration,,,,,,,,,,,,Not Started,,
https://thingtesting.com/,ThingTesting,,,,,,,,,,,,Not Started,,
https://supertools.therundown.ai/,Supertools by The Rundown AI,,,,,,,,,,,,Not Started,,
https://www.futuretools.io/,FutureTools,,,,,,,,,,,,Not Started,,
https://www.landingfolio.com/,LandingFolio,,,,,,,,,,,,Not Started,,
https://peerlist.io/,Peerlist,,,,,,,,,,,,Not Started,,
https://ecomm.design/,Ecomm.Design,,,,,,,,,,,,Not Started,,
https://dang.ai/,Dang AI,,,,,,,,,,,,Not Started,,
https://www.business-software.com/,Business-Software,,,,,,,,,,,,Not Started,,
https://www.spotsaas.com/,SpotSaaS,,,,,,,,,,,,Not Started,,
https://devhunt.org/,DevHunt,,,,,,,,,,,,Not Started,,
https://tooldirectory.ai/,ToolDirectory.AI,,,,,,,,,,,,Not Started,,
https://topai.tools/,TopAI.Tools,,,,,,,Nofollow,Paid,$47 One time Payment. ,Requires Review,,Not Started,,
https://unita.co/,Unita,,,,,,,,,,,,Not Started,,
https://www.techpluto.com/,TechPluto,,,,,,,,,,,,Not Started,,
https://foundr.ai/,Foundr AI,,,,,,,,,,,,Not Started,,
https://library.phygital.plus/,Phygital Library,,,,,,,,,,,,Not Started,,
https://saasaitools.com/,SaaS AI Tools,,,,,,,Nofollow,"Free, Paid",Free submission listing estimated wait time is 1 month. ,Requires Review,,Not Started,,
https://findmyaitool.com/,FindMyAITool,,,,,,,,,,,,Not Started,,
https://freebiesupply.com/,FreebieSupply,,,,,,,,,,,,Not Started,,
https://easywithai.com/,EasyWithAI,,,,,,,,,,,,Not Started,,
https://layers.to/,Layers,,,,,,,,,,,,Not Started,,
https://powerusers.ai/,Power Users,,,,,,,,Paid,,,,Not Started,,
https://www.curated.design/,Curated Design,,,,,,,,,,,,Not Started,,
https://godly.website/,Godly Website,,,,,,,,,,,,Not Started,,
https://www.builtinnyc.com/,Built In NYC,,,,,,,,,,,,Not Started,,
https://maxibestof.one/,Maxi Best of,,,,,,,,,,,,Not Started,,
https://www.toolio.ai/,Toolio,,,,,,,,,,,,Not Started,,
https://fivetaco.com/,Five Taco,,,,,,,,,,,,Not Started,,
https://www.aitoolhunt.com/,AI Tool Hunt,,,,,,,,,,,,Not Started,,
https://www.builtatlightspeed.com/,Built at Lightspeed,,,,,,,,,,,,Not Started,,
https://aitoptools.com/,AI Top Tools,,,,,,,,,,,,Not Started,,
https://www.stork.ai/,Stork,,,,,,,,,,,,Not Started,,
https://grabon.com/,GrabOn,,,,,,,,,,,,Not Started,,
https://aiscout.net/,AI Scout,,,,,,,,,,,,Not Started,,
https://appscribed.com/,AppScribed,,,,,,,,,,,,Not Started,,
https://allthingsai.com/,All Things AI,,,,,,,,,,,,Not Started,,
https://www.insidr.ai/,Insidr,,,,,,,,,,,,Not Started,,
https://startupbuffer.com/,Startup Buffer,,,,,,,,,,,,Not Started,,
https://www.aitechsuite.com/,AI Tech Suite,,,,,,,,Paid,,,,Not Started,,
